"","ENTITYNAME","CIPCode","CIPTITLE","ROI_Report_Group","DegreeLevelId","DEGREE","years_after_completion","annual_earnings"
"156","ALL","51.02","Communication Disorders Sciences and Services.","Health","21","Bachelor's Degree",1,"26865.54"
"157","ALL","50.09","Music.","Arts, Humanities and Communication","31","Master's Degree",1,"38164.230000000003"
"158","ALL","38.01","Philosophy.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"24956.86"
"159","ALL","51.38","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.","Health","01","Certificate(<1 year)",1,"24081.75"
"160","ALL","30.20","International/Global Studies.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"31725.15"
"161","ALL","26.03","Botany/Plant Biology.","Science, Technology, Engineering and Math","31","Master's Degree",1,"39923.79"
"162","ALL","22.03","Legal Support Services.","Social and Behavioral Sciences and Human Services","01","Certificate(<1 year)",1,"35904"
"163","ALL","25.03","Library and Archives Assisting.","Social and Behavioral Sciences and Human Services","11","Associate of Applied Science",1,"21946.77"
"164","ALL","27.03","Applied Mathematics.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"72506.960000000006"
"165","ALL","45.11","Sociology.","Social and Behavioral Sciences and Human Services","61","Doctoral Degree",1,"49536"
"166","ALL","50.09","Music.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"26067.599999999999"
"167","ALL","09.99","Communication, Journalism, and Related Programs, Other.","Arts, Humanities and Communication","31","Master's Degree",1,"46966.239999999998"
"168","ALL","05.02","Ethnic, Cultural Minority, Gender, and Group Studies.","Arts, Humanities and Communication","31","Master's Degree",1,"32373"
"169","ALL","51.22","Public Health.","Health","61","Doctoral Degree",1,"74730"
"170","ALL","19.09","Apparel and Textiles.","Social and Behavioral Sciences and Human Services","31","Master's Degree",1,"40360.519999999997"
"171","ALL","45.02","Anthropology.","Social and Behavioral Sciences and Human Services","61","Doctoral Degree",1,"41158.26"
"172","ALL","47.01","Electrical/Electronics Maintenance and Repair Technology.","Trades","02","Certificate(>1 year)",1,"22971"
"173","ALL","23.01","English Language and Literature, General.","Arts, Humanities and Communication","61","Doctoral Degree",1,"45363.360000000001"
"174","ALL","45.09","International Relations and National Security Studies.","Social and Behavioral Sciences and Human Services","31","Master's Degree",1,"45790.9"
"175","ALL","01.06","Applied Horticulture and Horticultural Business Services.","Science, Technology, Engineering and Math","02","Certificate(>1 year)",1,"31234.46"
"176","ALL","50.06","Film/Video and Photographic Arts.","Arts, Humanities and Communication","02","Certificate(>1 year)",1,"22999"
"177","ALL","26.15","Neurobiology and Neurosciences.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"50217.72"
"178","ALL","52.04","Business Operations Support and Assistant Services.","Business","02","Certificate(>1 year)",1,"24978.38"
"179","ALL","14.07","Chemical Engineering.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"70286"
"180","ALL","26.13","Ecology, Evolution, Systematics, and Population Biology.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"50063.8"
"181","ALL","40.08","Physics.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"59809.39"
"182","ALL","51.31","Dietetics and Clinical Nutrition Services.","Health","21","Bachelor's Degree",1,"25600.81"
"183","ALL","50.01","Visual and Performing Arts, General.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"23534.76"
"184","ALL","01.05","Agricultural and Domestic Animal Services.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"23427.62"
"185","ALL","45.02","Anthropology.","Social and Behavioral Sciences and Human Services","21","Bachelor's Degree",1,"24647.759999999998"
"186","ALL","44.07","Social Work.","Social and Behavioral Sciences and Human Services","61","Doctoral Degree",1,"31288.68"
"187","ALL","01.11","Plant Sciences.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"55249.56"
"188","ALL","30.00","Multi-/Interdisciplinary Studies, General.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"32178.5"
"189","ALL","39.02","Bible/Biblical Studies.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"36804.15"
"190","ALL","01.11","Plant Sciences.","Science, Technology, Engineering and Math","31","Master's Degree",1,"41238.18"
"191","ALL","26.09","Physiology, Pathology and Related Sciences.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"45984.75"
"192","ALL","51.33","Alternative and Complementary Medicine and Medical Systems.","Health","21","Bachelor's Degree",1,"28086.47"
"193","ALL","01.03","Agricultural Production Operations.","Science, Technology, Engineering and Math","11","Associate of Applied Science",1,"25014.15"
"194","ALL","26.15","Neurobiology and Neurosciences.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"31111"
"195","ALL","03.01","Natural Resources Conservation and Research.","Science, Technology, Engineering and Math","11","Associate of Applied Science",1,"24309.85"
"196","ALL","40.02","Astronomy and Astrophysics.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"33652.26"
"197","ALL","12.05","Culinary Arts and Related Services.","Trades","01","Certificate(<1 year)",1,"26277.24"
"198","ALL","51.07","Health and Medical Administrative Services.","Health","31","Master's Degree",1,"69454.95"
"199","ALL","05.02","Ethnic, Cultural Minority, Gender, and Group Studies.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"27382.99"
"200","ALL","13.12","Teacher Education and Professional Development, Specific Levels and Methods.","Education","01","Certificate(<1 year)",1,"23581.77"
"201","ALL","26.13","Ecology, Evolution, Systematics, and Population Biology.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"29027.16"
"202","ALL","15.00","Engineering Technology, General.","Science, Technology, Engineering and Math","02","Certificate(>1 year)",1,"48314.37"
"203","ALL","04.04","Environmental Design.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"52832.68"
"204","ALL","14.05","Biomedical/Medical Engineering.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"47484"
"205","ALL","51.15","Mental and Social Health Services and Allied Professions.","Health","11","Associate of Applied Science",1,"28718.61"
"206","ALL","15.06","Industrial Production Technologies/Technicians.","Science, Technology, Engineering and Math","02","Certificate(>1 year)",1,"23796.880000000001"
"207","ALL","26.05","Microbiological Sciences and Immunology.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"48437.01"
"208","ALL","45.09","International Relations and National Security Studies.","Social and Behavioral Sciences and Human Services","21","Bachelor's Degree",1,"27728.54"
"209","ALL","48.07","Woodworking.","Trades","01","Certificate(<1 year)",1,"50655.15"
"210","ALL","03.05","Forestry.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"28089.72"
"211","ALL","45.10","Political Science and Government.","Social and Behavioral Sciences and Human Services","31","Master's Degree",1,"51551.64"
"212","ALL","12.05","Culinary Arts and Related Services.","Trades","11","Associate of Applied Science",1,"22942"
"213","ALL","40.08","Physics.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"39726.589999999997"
"214","ALL","47.06","Vehicle Maintenance and Repair Technologies.","Trades","01","Certificate(<1 year)",1,"24642.45"
"215","ALL","50.05","Drama/Theatre Arts and Stagecraft.","Arts, Humanities and Communication","02","Certificate(>1 year)",1,"19816.98"
"216","ALL","30.12","Historic Preservation and Conservation.","Arts, Humanities and Communication","11","Associate of Applied Science",1,"24205.63"
"217","ALL","51.02","Communication Disorders Sciences and Services.","Health","01","Certificate(<1 year)",1,"44125.2"
"218","ALL","50.05","Drama/Theatre Arts and Stagecraft.","Arts, Humanities and Communication","11","Associate of Applied Science",1,"21659.4"
"219","ALL","01.03","Agricultural Production Operations.","Science, Technology, Engineering and Math","01","Certificate(<1 year)",1,"42810"
"220","ALL","39.04","Religious Education.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"55536.57"
"221","ALL","01.12","Soil Sciences.","Science, Technology, Engineering and Math","31","Master's Degree",1,"40498.35"
"222","ALL","30.17","Behavioral Sciences.","Arts, Humanities and Communication","31","Master's Degree",1,"41112.31"
"223","ALL","52.09","Hospitality Administration/Management.","Business","01","Certificate(<1 year)",1,"22301.35"
"224","ALL","26.02","Biochemistry, Biophysics and Molecular Biology.","Science, Technology, Engineering and Math","31","Master's Degree",1,"47367.6"
"225","ALL","45.07","Geography and Cartography.","Social and Behavioral Sciences and Human Services","31","Master's Degree",1,"48679.65"
"226","ALL","49.01","Air Transportation.","Trades","11","Associate of Applied Science",1,"26762.9"
"227","ALL","51.08","Allied Health and Medical Assisting Services.","Health","02","Certificate(>1 year)",1,"23855.759999999998"
"228","ALL","03.06","Wildlife and Wildlands Science and Management.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"23864.400000000001"
"229","ALL","09.04","Journalism.","Arts, Humanities and Communication","31","Master's Degree",1,"40648.76"
"230","ALL","40.05","Chemistry.","Science, Technology, Engineering and Math","31","Master's Degree",1,"46254.16"
"231","ALL","13.12","Teacher Education and Professional Development, Specific Levels and Methods.","Education","02","Certificate(>1 year)",1,"23984.1"
"232","ALL","40.06","Geological and Earth Sciences/Geosciences.","Science, Technology, Engineering and Math","31","Master's Degree",1,"61450.5"
"233","ALL","14.25","Petroleum Engineering.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"74730"
"234","ALL","26.09","Physiology, Pathology and Related Sciences.","Science, Technology, Engineering and Math","21","Bachelor's Degree",1,"27457.62"
"235","ALL","52.09","Hospitality Administration/Management.","Business","02","Certificate(>1 year)",1,"29409.119999999999"
